antecedents_str,consequents_str,support,confidence,lift,leverage
서비스상태=정상종결,"12주평가성공여부=Y, 6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.14156,0.8990219738346247,4.728210654436861,0.11162055559999999
"12주평가성공여부=Y, 6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",서비스상태=정상종결,0.14156,0.744504049647628,4.72821065443686,0.11162055559999999
"4주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1416,0.8997331300038125,4.727972306903902,0.11165058600000001
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","4주평가성공여부=Y, 서비스상태=정상종결",0.1416,0.744088281660536,4.727972306903902,0.11165058600000001
"4주평가성공여부=Y, 6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",서비스상태=정상종결,0.1416,0.7444012196404164,4.727557599646999,0.1116479588
"6개월평가성공여부=Y, 6주평가성공여부=Y, 서비스구분=보건소 금연클리닉",서비스상태=정상종결,0.1416,0.7444012196404164,4.727557599646999,0.1116479588
서비스상태=정상종결,"4주평가성공여부=Y, 6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1416,0.8992760066048521,4.727557599646999,0.1116479588
서비스상태=정상종결,"6개월평가성공여부=Y, 6주평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1416,0.8992760066048521,4.727557599646999,0.1116479588
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","서비스상태=정상종결, 성별=남",0.1235,0.648975302154493,4.721880836397649,0.097345168
"서비스상태=정상종결, 성별=남","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1235,0.8985739231664726,4.7218808363976486,0.097345168
서비스상태=정상종결,"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉, 성별=남",0.1235,0.784326178076972,4.715765861453656,0.0973112528
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉, 성별=남",서비스상태=정상종결,0.1235,0.7425444925444925,4.715765861453655,0.0973112528
"6개월평가성공여부=Y, 등록유형=보건소",서비스상태=정상종결,0.11228,0.7399499143271385,4.699288164150506,0.0883870196
"6개월평가성공여부=Y, 등록유형=보건소, 서비스구분=보건소 금연클리닉",서비스상태=정상종결,0.11228,0.7399499143271385,4.699288164150506,0.0883870196
서비스상태=정상종결,"6개월평가성공여부=Y, 등록유형=보건소",0.11228,0.7130699860281977,4.699288164150505,0.0883870196
서비스상태=정상종결,"6개월평가성공여부=Y, 등록유형=보건소, 서비스구분=보건소 금연클리닉",0.11228,0.7130699860281977,4.699288164150505,0.0883870196
"12주평가성공여부=Y, 6개월평가성공여부=Y, 등록유형=보건소",서비스상태=정상종결,0.11216,0.7399393059770418,4.69922079243644,0.0882922132
서비스상태=정상종결,"12주평가성공여부=Y, 6개월평가성공여부=Y, 등록유형=보건소",0.11216,0.7123078877175156,4.69922079243644,0.0882922132
"6개월평가성공여부=Y, 등록유형=보건소","6주평가성공여부=Y, 서비스상태=정상종결",0.1122,0.7394226967180703,4.698924102173807,0.08832219359999999
"6주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 등록유형=보건소",0.1122,0.7130147432638535,4.698924102173807,0.08832219359999999
"12주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 등록유형=보건소",0.11216,0.7129417747266718,4.69844322345243,0.0882882632
"6개월평가성공여부=Y, 등록유형=보건소","12주평가성공여부=Y, 서비스상태=정상종결",0.11216,0.7391590879135362,4.69844322345243,0.0882882632
서비스상태=정상종결,"6개월평가성공여부=Y, 6주평가성공여부=Y, 등록유형=보건소",0.1122,0.7125619204877429,4.698416988578023,0.0883196164
"6개월평가성공여부=Y, 6주평가성공여부=Y, 등록유형=보건소",서비스상태=정상종결,0.1122,0.7398127390214955,4.698416988578023,0.0883196164
서비스상태=정상종결,"4주평가성공여부=Y, 6개월평가성공여부=Y, 등록유형=보건소",0.1122,0.7125619204877429,4.698416988578023,0.0883196164
"4주평가성공여부=Y, 6개월평가성공여부=Y, 등록유형=보건소",서비스상태=정상종결,0.1122,0.7398127390214955,4.698416988578023,0.0883196164
"4주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 등록유형=보건소",0.1122,0.7129241326725124,4.698326958432268,0.08831915879999999
"6개월평가성공여부=Y, 등록유형=보건소","4주평가성공여부=Y, 서비스상태=정상종결",0.1122,0.7394226967180703,4.6983269584322676,0.08831915879999999
"6개월평가성공여부=Y, 등록유형=보건소, 성별=남",서비스상태=정상종결,0.09762,0.7375339981867634,4.683945117406093,0.0767785944
서비스상태=정상종결,"6개월평가성공여부=Y, 등록유형=보건소, 성별=남",0.09762,0.6199669757398705,4.683945117406092,0.0767785944
"6개월평가성공여부=Y, 등록유형=보건소","서비스상태=정상종결, 성별=남",0.09762,0.6433372874654013,4.680859192850708,0.0767648544
"서비스상태=정상종결, 성별=남","6개월평가성공여부=Y, 등록유형=보건소",0.09762,0.7102735739231665,4.680859192850708,0.0767648544
"6주평가성공여부=미실시, 등록유형=보건소","4주평가성공여부=미실시, 서비스상태=금연유지",0.11934,0.40268592252665675,2.760391572022599,0.0761070032
"4주평가성공여부=미실시, 서비스상태=금연유지","6주평가성공여부=미실시, 등록유형=보건소",0.11934,0.8180696462846174,2.760391572022599,0.0761070032
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","12주평가성공여부=Y, 등록유형=보건소",0.15158,0.7965317919075144,2.737410790801823,0.096206506
"12주평가성공여부=Y, 등록유형=보건소","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.15158,0.5209292734895868,2.737410790801823,0.096206506
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결","12주평가성공여부=Y, 등록유형=보건소",0.1122,0.7917019475021168,2.720812246553429,0.07096231439999999
"12주평가성공여부=Y, 등록유형=보건소","서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1122,0.385593511581552,2.720812246553429,0.07096231439999999
"6개월평가성공여부=Y, 등록유형=보건소","12주평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.15158,0.9989455647818636,2.7205881714196405,0.09586410679999999
"12주평가성공여부=Y, 서비스구분=보건소 금연클리닉","6개월평가성공여부=Y, 등록유형=보건소",0.15158,0.4128220491312163,2.7205881714196405,0.09586410679999999
"12주평가성공여부=Y, 서비스구분=보건소 금연클리닉","등록유형=보건소, 서비스상태=정상종결",0.1122,0.3055721989215099,2.720550204073272,0.07095834239999999
"등록유형=보건소, 서비스상태=정상종결","12주평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1122,0.9989316239316238,2.7205502040732714,0.07095834239999999
"6주평가성공여부=미실시, 서비스상태=금연유지","4주평가성공여부=미실시, 등록유형=보건소",0.11934,0.6194975083056479,2.6951079278937087,0.07505976959999999
"4주평가성공여부=미실시, 등록유형=보건소","6주평가성공여부=미실시, 서비스상태=금연유지",0.11934,0.519185591229444,2.6951079278937082,0.07505976959999999
"6주평가성공여부=미실시, 서비스구분=보건소 금연클리닉","4주평가성공여부=미실시, 등록유형=보건소",0.22986,0.6109398256432065,2.657877950244525,0.1433774736
"4주평가성공여부=미실시, 등록유형=보건소","6주평가성공여부=미실시, 서비스구분=보건소 금연클리닉",0.22986,1.0,2.6578779502445244,0.1433774736
"12주평가성공여부=Y, 6개월평가성공여부=미실시","6주평가성공여부=Y, 서비스상태=중간종결",0.09652,0.5085353003161223,2.647242583634161,0.060059419999999995
"6주평가성공여부=Y, 서비스상태=중간종결","12주평가성공여부=Y, 6개월평가성공여부=미실시",0.09652,0.5024466423737637,2.647242583634161,0.060059419999999995
"4주평가성공여부=미실시, 서비스구분=보건소 금연클리닉","6주평가성공여부=미실시, 등록유형=보건소",0.22986,0.7807744565217392,2.634547363077808,0.142611616
"6주평가성공여부=미실시, 등록유형=보건소","4주평가성공여부=미실시, 서비스구분=보건소 금연클리닉",0.22986,0.7756107436901066,2.634547363077808,0.142611616
"6개월평가성공여부=Y, 6주평가성공여부=Y","12주평가성공여부=Y, 성별=남",0.18104,0.874335941273061,2.5474504436602206,0.1099728668
"12주평가성공여부=Y, 성별=남","6개월평가성공여부=Y, 6주평가성공여부=Y",0.18104,0.5274750888642853,2.5474504436602206,0.1099728668
"12주평가성공여부=Y, 성별=남","4주평가성공여부=Y, 6개월평가성공여부=Y",0.18104,0.5274750888642853,2.547204408268714,0.10996600240000001
"4주평가성공여부=Y, 6개월평가성공여부=Y","12주평가성공여부=Y, 성별=남",0.18104,0.8742514970059881,2.547204408268714,0.10996600240000001
"12주평가성공여부=Y, 6주평가성공여부=Y, 성별=남",6개월평가성공여부=Y,0.18104,0.5275058275058275,2.5463691229283043,0.109942688
6개월평가성공여부=Y,"12주평가성공여부=Y, 6주평가성공여부=Y, 성별=남",0.18104,0.873913882988994,2.546369122928304,0.109942688
"12주평가성공여부=Y, 성별=남",6개월평가성공여부=Y,0.18104,0.5274750888642853,2.5462207417661964,0.1099385448
"12주평가성공여부=Y, 4주평가성공여부=Y, 성별=남",6개월평가성공여부=Y,0.18104,0.5274750888642853,2.5462207417661964,0.1099385448
6개월평가성공여부=Y,"12주평가성공여부=Y, 4주평가성공여부=Y, 성별=남",0.18104,0.873913882988994,2.5462207417661964,0.1099385448
6개월평가성공여부=Y,"12주평가성공여부=Y, 성별=남",0.18104,0.873913882988994,2.5462207417661964,0.1099385448
"12주평가성공여부=Y, 성별=남","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.16622,0.48429578695880193,2.5449069204351127,0.100905234
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","12주평가성공여부=Y, 성별=남",0.16622,0.8734629532317394,2.5449069204351127,0.100905234
"6주평가성공여부=Y, 서비스상태=정상종결","12주평가성공여부=Y, 성별=남",0.13734,0.8727758007117437,2.542904844448877,0.0833309008
"12주평가성공여부=Y, 성별=남","6주평가성공여부=Y, 서비스상태=정상종결",0.13734,0.4001515063224753,2.542904844448877,0.0833309008
"12주평가성공여부=Y, 성별=남","4주평가성공여부=Y, 서비스상태=정상종결",0.13734,0.4001515063224753,2.542581689684047,0.0833240364
"4주평가성공여부=Y, 서비스상태=정상종결","12주평가성공여부=Y, 성별=남",0.13734,0.8726648875333587,2.542581689684047,0.0833240364
