cate1_a,col_nm_a,freq,mean_link,score
교육,일자,4,0.3525,1.41
공공행정,수용인원,3,0.46666666666666673,1.4000000000000001
교육, 5_차량유지비 ,2,0.7,1.4
교육, 5_직원급여 ,2,0.7,1.4
교육, 5_인쇄출판비 ,2,0.7,1.4
교육, 5_증명료 ,2,0.7,1.4
교육, 5_전기수도료 ,2,0.7,1.4
교육, 5_통신비 ,2,0.7,1.4
교육, 5_장비관리비 ,2,0.7,1.4
교육, 5_보험료 ,2,0.7,1.4
교육, 3_등록금수입 ,2,0.7,1.4
교육, 5_교내장학금 ,2,0.7,1.4
교육, 5_교원법정부담금(3) ,2,0.7,1.4
교육, 5_시설용역비 ,2,0.7,1.4
교육, 5_여비교통비 ,2,0.7,1.4
교육, 5_일반용역비 ,2,0.695,1.39
교육, 5_교원급여 ,2,0.695,1.39
교육, 6_교원건강보험부담금(3) ,2,0.695,1.39
교육, 5_회의비 ,2,0.695,1.39
교육, 5_직원법정부담금(4) ,2,0.695,1.39
교육, 6_직원건강보험부담금(4) ,2,0.695,1.39
교육, 5_교육훈련비 ,2,0.695,1.39
교육, 5_시간강의료 ,2,0.695,1.39
교육, 5_교원각종수당 ,2,0.695,1.39
교육, 5_직원각종수당 ,2,0.695,1.39
교육, 5_리스임차료 ,2,0.695,1.39
교육, 5_교외장학금 ,2,0.695,1.39
교육, 3_교육부대수입 ,2,0.69,1.38
교육, 5_복리후생비 ,2,0.69,1.38
교육, 6_직원사학연금부담금(4) ,2,0.69,1.38
교육, 5_행사비 ,2,0.69,1.38
교육, 6_교원사학연금부담금(3) ,2,0.69,1.38
교육, 4_증명사용료수입 ,2,0.69,1.38
교육, 5_대여료및사용료 ,2,0.69,1.38
교육, 5_기타운영비 ,2,0.685,1.37
교육, 5_홍보비 ,2,0.685,1.37
교육, 5_건축물관리비 ,2,0.685,1.37
교육, 4_시설관리비 ,2,0.6799999999999999,1.3599999999999999
교육,2022년 인원,2,0.67,1.34
공공행정,세종,2,0.67,1.34
교육, 5_학생지원비 ,2,0.665,1.33
