학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
대곡초등학교,경기,초,공립,,경기도 고양시 덕양구 대주로 138-50 . 대곡초등학교 (대장동. 대곡초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
대화초등학교,경기,초,공립,,경기도 고양시 일산서구 송포로 50 (대화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
덕은초등학교,경기,초,공립,,경기도 고양시 덕양구 중앙로176번길 18-4 (화전동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
덕이초등학교,경기,초,공립,,경기도 고양시 일산서구 덕이로 104 (덕이동),0,,,1,2015.0,,,,,,,,,,,,,,,,,,,,0
도래울초등학교,경기,초,공립,,경기도 고양시 덕양구 도래울3로 5 . 도래울초등학교 (도내동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
무원초등학교,경기,초,공립,,경기도 고양시 덕양구 무원로 47 (행신동.무원초등학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
문촌초등학교,경기,초,공립,,경기도 고양시 일산서구 주엽로 168 168. 문촌초등학교 (주엽동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
문화초등학교,경기,초,공립,,경기도 고양시 일산서구 강선로 123 (주엽동.문화초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
백마초등학교,경기,초,공립,,경기도 고양시 일산동구 일산로 230 (마두동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
백신초등학교,경기,초,공립,,경기도 고양시 일산동구 강촌로26번길 66 (백석동.백신초등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
백양초등학교,경기,초,공립,,경기도 고양시 덕양구 화신로 238 (화정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
벽제초등학교,경기,초,공립,,경기도 고양시 일산동구 공릉천로 13 (사리현동.벽제초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
삼송초등학교,경기,초,공립,,경기도 고양시 덕양구 세솔로 150 (원흥동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
상탄초등학교,경기,초,공립,,경기도 고양시 일산서구 현중로 47 . 상탄초등학교 (탄현동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성라초등학교,경기,초,공립,,경기도 고양시 덕양구 호국로716번길 13-19 . 성라초등학교 (성사동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성사초등학교,경기,초,공립,,경기도 고양시 덕양구 호국로834번길 89 . 성사초등학교 (성사동. 성사초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성석초등학교,경기,초,공립,,경기도 고양시 일산동구 문봉길 110 (문봉동. 성석초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성신초등학교,경기,초,공립,,경기도 고양시 덕양구 성신로 104 . 성신초등학교 (행신동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성저초등학교,경기,초,공립,,경기도 고양시 일산서구 성저로 92 . 성저초등학교 (대화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
소만초등학교,경기,초,공립,,경기도 고양시 덕양구 화신로 48 . 소만초등학교 (행신동. 소만초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
송포초등학교,경기,초,공립,,경기도 고양시 일산서구 송산로 379 . 송포초등학교 (가좌동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
일산은행초등학교,경기,초,공립,,경기도 고양시 일산동구 은행마을로 70 (식사동. 일산은행초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신능초등학교,경기,초,공립,,경기도 고양시 덕양구 충장로123번길 37 (행신동.신능초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신원초등학교,경기,초,공립,,경기도 고양시 덕양구 신원3로 21 (신원동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신촌초등학교,경기,초,공립,,경기도 고양시 일산서구 후곡로 52 (일산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
안곡초등학교,경기,초,공립,,경기도 고양시 일산동구 중산로 142 (중산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
오마초등학교,경기,초,공립,,경기도 고양시 일산서구 주엽로 214 (주엽동),0,,,1,2017.0,,,,,,,,,,,,,,,,,,,,0
용두초등학교,경기,초,공립,,경기도 고양시 덕양구 용두로121번길 121-20 . 용두초등학교 (용두동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
용정초등학교,경기,초,공립,,경기도 고양시 덕양구 은빛로17번길 . 53  (화정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
원당초등학교,경기,초,공립,,경기도 고양시 덕양구 마상로107번길 13 (주교동.원당초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
원중초등학교,경기,초,공립,,경기도 고양시 일산동구 위시티3로 67 (식사동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
율동초등학교,경기,초,공립,,경기도 고양시 일산동구 산두로 223 (정발산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
일산초등학교,경기,초,공립,,경기도 고양시 일산서구 일중로15번길 38 (일산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
장성초등학교,경기,초,공립,,경기도 고양시 일산서구 일산로 738 (대화동.장성초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
장촌초등학교,경기,초,공립,,경기도 고양시 일산서구 호수로856번길 43 (대화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
저동초등학교,경기,초,공립,,경기도 고양시 일산동구 대산로11번길 37 . 저동초등학교 (정발산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
정발초등학교,경기,초,공립,,경기도 고양시 일산동구 강송로 190 (마두동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
주엽초등학교,경기,초,공립,,경기도 고양시 일산서구 강선로 29 (주엽동.주엽초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중산초등학교,경기,초,공립,,경기도 고양시 일산동구 탄중로 373 (중산초등학교),1,2023.0,정보교육실 구축교,0,,,,,,,,,,,,,,,,,,,,,0
지도초등학교,경기,초,공립,,경기도 고양시 덕양구 성신로 49 . 지도초등학교 (화정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
지축초등학교,경기,초,공립,,경기 고양시 덕양구 지축초교길 45 (지축동.지축초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
풍산초등학교,경기,초,공립,,경기도 고양시 일산동구 숲속마을로 51 . 풍산초등학교 (풍동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
한수초등학교,경기,초,공립,,경기도 고양시 일산서구 주엽로 118 . 한수초등학교 (주엽동),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
행남초등학교,경기,초,공립,,경기도 고양시 덕양구 소만로 22 . 행남초등학교 (행신동 행남초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
행신초등학교,경기,초,공립,,경기도 고양시 덕양구 중앙로 527 . 행신초등학교 (행신동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
행주초등학교,경기,초,공립,,경기도 고양시 덕양구 행주로17번길 70 . 임의로수정 (행주내동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
현산초등학교,경기,초,공립,,경기도 고양시 일산서구 산현로 87 (탄현동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
호곡초등학교,경기,초,공립,,경기도 고양시 일산서구 탄현로 109 . 호곡초등학교 (탄현동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
호수초등학교,경기,초,공립,,경기도 고양시 일산동구 강촌로 27 (장항동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
화중초등학교,경기,초,공립,,경기도 고양시 덕양구 화중로152번길 43 (화정동. 화중초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
황룡초등학교,경기,초,공립,,경기도 고양시 일산서구 탄현로 75 (탄현동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
