col_id,col_nm,table_id,cate1,cate2,num_cat_flag,pk_ratio,distinct_cnt,null_ratio,same_ratio,rec_cnt,column_cnt,categorical_cnt,numerical_cnt,avg_dom_col,avg_val_col,num_dom_eqn_col,num_dom_inter_col,num_val_eqn_col,num_val_inter_col,inner_tbl_cnt,outer_tbl_cnt,rep_ratio_tbl,common_ratio_tbl,col_table_cnt,inner_col_cnt,pk_bucket,null_bucket,col_type,rec_bucket,col_cnt_bucket,domain_spread,dom_sim_bucket,val_sim_bucket
8535,신고기관,816,보건,보건의료,1,0.01,1,0.0,93.0,93,8,7,1,1.0,0.010752688172043,0.0,0.0,0.0,1.0,670.0,,,,1.0,1.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,최고유사(0.6+),낮은값유사
8536,신고기관전화번호,816,보건,보건의료,1,0.01,1,0.0,93.0,93,8,7,1,,,,,,,670.0,,,,,,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8537,연번,817,보건,보건의료,0,1.0,23,0.0,1.0,23,7,2,5,0.3309809049477915,0.3309809049477915,2.0,1627.0,2.0,1837.0,684.0,,,,639.0,2261.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),높은유사(0.3-0.6),높은값유사
8538,동,817,보건,보건의료,1,1.0,23,0.0,1.0,23,7,2,5,0.7101449275362319,0.7101449275362319,1.0,1.0,1.0,2.0,684.0,,,,3.0,3.0,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),소공유(2-5),최고유사(0.6+),최고값유사
8539,(1종) 가구수,817,보건,보건의료,0,1.0,23,0.0,1.0,23,7,2,5,0.2475392316778221,0.2475392316778221,0.0,716.0,0.0,716.0,684.0,,,,379.0,773.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),중값유사
8540,(1종) 수급권자수,817,보건,보건의료,0,1.0,23,0.0,1.0,23,7,2,5,0.2334605960453587,0.2334605960453587,0.0,711.0,0.0,712.0,684.0,,,,374.0,763.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),중값유사
8541,(2종) 가구수,817,보건,보건의료,0,0.87,20,0.0,1.15,23,7,2,5,0.3107954545454545,0.2823841178584261,0.0,865.0,0.0,947.0,684.0,,,,443.0,968.0,고PK(0.7-0.9),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),높은유사(0.3-0.6),중값유사
8542,(2종) 수급권자수,817,보건,보건의료,0,0.91,21,0.0,1.1,23,7,2,5,0.2903922274199352,0.2717665096922571,0.0,724.0,0.0,782.0,684.0,,,,380.0,794.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),중값유사
8543,데이터기준일자,817,보건,보건의료,1,0.04,1,0.0,23.0,23,7,2,5,1.0,0.3898550724637681,3.0,0.0,0.0,22.0,684.0,,,,28.0,30.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),높은값유사
8544,게시판번호,818,보건,보건의료,0,1.0,16,0.0,1.0,16,8,5,3,0.1743721461187214,0.1743721461187214,0.0,620.0,0.0,620.0,727.0,,,,168.0,657.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),중값유사
8545,게시판구분,818,보건,보건의료,1,0.06,1,0.0,16.0,16,8,5,3,,,,,,,727.0,,,,,,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8565,합계,819,보건,보건의료,0,1.0,6,0.0,1.0,6,14,1,13,0.4272858171346292,0.4272858171346292,0.0,849.0,0.0,852.0,670.0,,,,445.0,926.0,최고PK(0.9+),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8561,9월,819,보건,보건의료,0,0.67,4,0.0,1.5,6,14,1,13,0.3620925982333232,0.4832470301553457,0.0,2855.0,0.0,3168.0,670.0,,,,622.0,3283.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8562,10월,819,보건,보건의료,0,0.83,5,0.0,1.2,6,14,1,13,0.531439393939394,0.486847643097643,0.0,1239.0,0.0,1451.0,670.0,,,,598.0,1584.0,고PK(0.7-0.9),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
3195,2_특별손실,328,교육,고등교육,0,0.01,1,0.0,192.0,192,105,9,96,1.0,0.6634319536209354,326.0,0.0,40.0,1223.0,782.0,,,,222.0,2573.0,저PK(0-0.3),완전(0%),수치형,중(101-1k),초풍부(21+),대공유(21+),최고유사(0.6+),최고값유사
8563,11월,819,보건,보건의료,0,0.83,5,0.0,1.2,6,14,1,13,0.3227519613759807,0.3904144035405351,0.0,2898.0,0.0,3212.0,670.0,,,,626.0,3314.0,고PK(0.7-0.9),완전(0%),수치형,소(≤100),풍부(11-20),대공유(21+),높은유사(0.3-0.6),높은값유사
8546,제목,818,보건,보건의료,1,0.88,14,0.0,1.14,16,8,5,3,,,,,,,727.0,,,,,,고PK(0.7-0.9),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8547,게시여부,818,보건,보건의료,1,0.13,2,0.0,8.0,16,8,5,3,0.7699386503067485,0.6487730061349694,87.0,20.0,0.0,94.0,727.0,,,,81.0,163.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),최고값유사
8548,삭제여부,818,보건,보건의료,1,0.13,2,0.0,8.0,16,8,5,3,0.7699386503067485,0.6226993865030674,87.0,20.0,0.0,97.0,727.0,,,,81.0,163.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),최고값유사
8549,조회수,818,보건,보건의료,0,0.63,10,0.0,1.6,16,8,5,3,0.1885388538853885,0.3759563456345635,0.0,2988.0,0.0,3287.0,727.0,,,,638.0,3333.0,중PK(0.3-0.7),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),높은값유사
