support,itemsets_str
0.13739837398373983,"cate2=일반행정, domain_spread=대공유(21+)"
0.13739837398373983,"cate1=공공행정, cate2=일반행정, domain_spread=대공유(21+)"
0.1366869918699187,"col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.13658536585365855,"col_cnt_bucket=풍부(11-20), col_type=범주형"
0.1363821138211382,"cate1=교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.13617886178861788,"pk_bucket=저PK(0-0.3), val_sim_bucket=높은값유사"
0.13607723577235772,"col_cnt_bucket=초풍부(21+), col_type=수치형, pk_bucket=저PK(0-0.3)"
0.13607723577235772,"dom_sim_bucket=낮은유사(0-0.1), rec_bucket=소(≤100)"
0.13597560975609757,"col_type=수치형, pk_bucket=최고PK(0.9+)"
0.1353658536585366,"cate1=보건, col_type=범주형"
0.1353658536585366,"cate2=보건의료, col_type=범주형"
0.1353658536585366,"cate1=보건, cate2=보건의료, col_type=범주형"
0.13475609756097562,"col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.13465447154471544,"cate1=교육, cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.13465447154471544,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.13445121951219513,"cate1=교육, val_sim_bucket=중값유사"
0.13363821138211382,"col_cnt_bucket=표준(6-10), pk_bucket=저PK(0-0.3)"
0.1328252032520325,"dom_sim_bucket=낮은유사(0-0.1), rec_bucket=소(≤100), val_sim_bucket=낮은값유사"
0.1328252032520325,"col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.13272357723577236,"col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.13241869918699187,"col_cnt_bucket=풍부(11-20), domain_spread=대공유(21+)"
0.13191056910569104,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), val_sim_bucket=낮은값유사"
0.1306910569105691,"col_cnt_bucket=풍부(11-20), val_sim_bucket=낮은값유사"
0.1303861788617886,"col_type=범주형, rec_bucket=소(≤100), val_sim_bucket=낮은값유사"
0.1303861788617886,"col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.1303861788617886,"col_cnt_bucket=표준(6-10), col_type=범주형, val_sim_bucket=낮은값유사"
0.13008130081300814,"dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k), val_sim_bucket=낮은값유사"
0.12997967479674796,"cate1=교육, cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.12997967479674796,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.1298780487804878,"cate1=교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.12977642276422766,"cate1=교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12835365853658537,"cate1=교육, cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.12835365853658537,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.12815040650406503,"col_cnt_bucket=초풍부(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.12794715447154473,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.12764227642276424,"cate1=교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.12723577235772357,"cate1=교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.12672764227642278,"cate1=교육, col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.12672764227642278,"cate1=교육, cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3)"
0.12672764227642278,"cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3)"
0.12652439024390244,"col_cnt_bucket=표준(6-10), dom_sim_bucket=낮은유사(0-0.1)"
